Invoice ID,Branch,Customer type,Gender,ProductID,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,ProductLineID,ProductLine,,,,ProductID1,Unit price,ProductLine1,,,ProductLineID2,Product line 2
750-67-8428,A,Member,Female,PID01,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,PD001,Health and beauty,,,,PID01,74.69,PD001,,,PD001,Health and beauty
123-19-1176,A,Member,Male,PID02,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4,PD002,Electronic accessories,,,,PID02,58.22,PD002,,,PD002,Electronic accessories
355-53-5943,A,Member,Female,PID03,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8,PD003,Home and lifestyle,,,,PID03,68.84,PD003,,,PD003,Home and lifestyle
665-32-9167,A,Member,Female,PID04,2,3.626,76.146,1/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2,PD001,Health and beauty,,,,PID04,36.26,PD001,,,PD004,Sports and travel
656-95-9349,A,Member,Female,PID05,7,24.1255,506.6355,3/11/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6,PD004,Sports and travel,,,,PID05,68.93,PD004,,,PD005,Food and beverages
549-59-1358,A,Member,Male,PID06,3,13.2945,279.1845,3/2/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6,PD002,Electronic accessories,,,,PID06,88.63,PD002,,,PD006,Fashion accessories
227-03-5010,A,Member,Female,PID07,8,21.036,441.756,3/22/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5,PD002,Electronic accessories,,,,PID07,52.59,PD002,,,,
129-29-8530,A,Member,Male,PID08,5,15.655,328.755,3/10/2019,19:15,Ewallet,313.1,4.761904762,15.655,7,PD003,Home and lifestyle,,,,PID08,62.62,PD003,,,,
162-48-8011,A,Member,Female,PID09,5,11.1475,234.0975,2/10/2019,15:10,Cash,222.95,4.761904762,11.1475,8.5,PD001,Health and beauty,,,,PID09,44.59,PD001,,,,
106-35-6779,A,Member,Male,PID10,2,4.434,93.114,3/27/2019,11:26,Cash,88.68,4.761904762,4.434,5.8,PD005,Food and beverages,,,,PID10,44.34,PD005,,,,
589-02-8023,A,Member,Male,PID100,2,8.377,175.917,1/15/2019,10:54,Credit card,167.54,4.761904762,8.377,7,PD006,Fashion accessories,,,,PID100,83.77,PD006,,,,
706-36-6154,A,Member,Male,PID101,9,8.712,182.952,1/18/2019,18:43,Ewallet,174.24,4.761904762,8.712,8.7,PD002,Electronic accessories,,,,PID101,19.36,PD002,,,,
742-04-5161,A,Member,Male,PID102,10,36.39,764.19,2/3/2019,17:24,Cash,727.8,4.761904762,36.39,7.3,PD002,Electronic accessories,,,,PID102,72.78,PD002,,,,
562-12-5430,A,Member,Female,PID103,3,13.2225,277.6725,1/18/2019,10:11,Ewallet,264.45,4.761904762,13.2225,7.9,PD005,Food and beverages,,,,PID103,88.15,PD005,,,,
816-72-8853,A,Member,Female,PID104,5,6.9825,146.6325,1/29/2019,15:48,Cash,139.65,4.761904762,6.9825,5.9,PD001,Health and beauty,,,,PID104,27.93,PD001,,,,
529-56-3981,A,Normal,Male,PID104,5,8.64,181.44,2/17/2020,11:15,Ewallet,172.8,4.761904762,8.64,9.9,PD001,Health and beauty,,,,PID105,34.56,PD001,,,,
